Id,Model,Price,Age,KM,HP,Metallic,Automatic,CC,Doors,Gears,Weight
214,TOYOTA Corolla 1.6 16V VVT I HATCHB TERRA 2/3-Doors,10950,39,48945,110,0,0,1600,3,5,1040
215,TOYOTA Corolla 1.6 16V VVT I WAGON TERRA Stationwagen,12950,38,48197,110,1,0,1600,5,5,1075
216,TOYOTA Corolla 1.6 16V VVT I SEDAN TERRA 4/5-Doors,13450,34,48011,110,1,0,1600,4,5,1030
217,TOYOTA Corolla 1.6 Terra LB 4/5-Doors,13500,43,48000,110,1,0,1600,5,5,1075
218,TOYOTA Corolla 1.6 16V VVT I WAGON TERRA Stationwagen,11480,41,47350,110,1,0,1600,5,5,1075
219,TOYOTA Corolla 1.4 16V VVT I LIFTB LUNA 4/5-Doors,13450,39,46821,97,1,0,1400,5,5,1060
220,TOYOTA Corolla 1.6 16V VVT I HATCHB TERRA 2/3-Doors,11495,39,46694,110,0,0,1600,3,5,1040
221,TOYOTA Corolla 1.4 VVTI L.Terra HB 4/5-Doors,12750,43,46515,97,0,0,1400,5,5,1025
222,TOYOTA Corolla 1.6 16V VVT I HATCHB G6 2/3-Doors,14990,38,46327,110,1,0,1600,3,5,1055
223,TOYOTA Corolla 1.4 16V VVT I LIFTB LUNA 4/5-Doors,12950,35,46304,97,1,0,1400,5,5,1060
224,TOYOTA Corolla 1.6 16V VVT I LIFTB SOL 4/5-Doors,12950,40,45886,110,1,0,1600,5,5,1080
225,TOYOTA Corolla 1.4 LB LINEA TERRA 4/5-Doors,12850,39,45713,97,1,0,1400,5,5,1085
226,TOYOTA Corolla 1.6 16V VVT I LIFTB LUNA AUT4 4/5-Doors,13950,40,45600,110,1,1,1600,5,5,1105
227,TOYOTA Corolla 1.6 16V VVT I LIFTB TERRA 4/5-Doors,11950,41,45287,110,1,0,1600,5,5,1075
228,TOYOTA Corolla 1.6 16V VVT I LIFTB LUNA 4/5-Doors,12950,39,45081,110,1,0,1600,5,5,1075
229,TOYOTA Corolla 1.6 16V VVT I LIFTB TERRA 4/5-Doors,11700,40,44830,110,1,0,1600,5,5,1075
230,TOYOTA Corolla 1.4 16V VVT I HATCHB TERRA 2/3-Doors,9950,37,44757,97,0,0,1400,3,5,1025
231,TOYOTA Corolla 1.4 16V VVT I LIFTB TERRA 4/5-Doors,11895,44,44218,97,1,0,1400,5,5,1060
232,TOYOTA Corolla 1.6 16V VVT I WAGON BLUE Stationwagen,12950,43,43632,110,1,0,1600,5,5,1075
233,TOYOTA Corolla 1.6 16V VVT I HATCHB TERRA 2/3-Doors,12500,36,43427,110,1,0,1600,3,5,1040
234,TOYOTA Corolla 1.6 16V VVT I LIFTB LUNA 4/5-Doors,13875,39,43254,110,1,0,1600,5,5,1075
235,TOYOTA Corolla 1.6 16V HATCHB LINEA TERRA 2/3-Doors,10500,35,43000,110,0,0,1600,3,5,1050
236,TOYOTA Corolla 1.6 16V VVT I LIFTB LUNA 4/5-Doors,12295,33,42823,110,1,0,1600,5,5,1075
237,TOYOTA Corolla 1.6 16V VVT I LIFTB SOL 4/5-Doors,13950,42,42560,110,1,0,1600,5,5,1080
238,TOYOTA Corolla 1.6 16V VVT I HATCHB TERRA 2/3-Doors,10950,38,41754,110,0,0,1600,3,5,1040
239,TOYOTA Corolla 1.6 16V VVT I LIFTB SOL 4/5-Doors,12850,40,41339,110,1,0,1600,5,5,1080
240,TOYOTA Corolla 1.6 16V VVT I LIFTB LUNA 4/5-Doors,13995,35,41000,110,1,0,1600,5,5,1075
241,TOYOTA Corolla 1.6 16V VVT I HATCHB G6 2/3-Doors,13750,39,40000,110,1,0,1600,3,5,1055
242,TOYOTA Corolla 1.6 16V VVT I LIFTB TERRA 4/5-Doors,12750,37,39757,110,1,0,1600,5,5,1075
243,TOYOTA Corolla 1.6 16V VVT I HATCHB SOL 2/3-Doors,12500,41,39659,110,1,0,1600,3,5,1045
244,TOYOTA Corolla 1.6 16V VVT I HATCHB G6 2/3-Doors,13950,43,39650,110,0,0,1600,3,5,1055
245,TOYOTA Corolla 1.4 16V VVT I HATCHB TERRA 2/3-Doors,11500,39,39524,97,1,0,1398,3,5,1025
246,TOYOTA Corolla 1.4 16V VVT I LIFTB TERRA 4/5-Doors,13950,44,39516,97,1,0,1400,5,5,1060
247,TOYOTA Corolla 1.4 16V VVT I LIFTB TERRA 4/5-Doors,11895,41,39439,97,0,0,1400,5,5,1060
248,TOYOTA Corolla 1.4 16V VVT I HATCHB TERRA 2/3-Doors,9950,44,39000,97,1,0,1400,3,5,1025
249,TOYOTA Corolla 1.6 16v VVTi Terra Comfort 2/3-Doors,13500,42,38932,110,1,0,1600,3,5,1040
250,TOYOTA Corolla 1.4 16V VVT I HATCHB TERRA 2/3-Doors,11450,37,38812,97,0,0,1400,3,5,1025
251,TOYOTA Corolla 1.6 16V VVT I LIFTB LUNA 4/5-Doors,12450,42,38665,110,1,0,1600,5,5,1075
252,TOYOTA Corolla 1.6 16V VVT I LIFTB SOL 4/5-Doors,12950,40,38653,110,1,0,1600,5,5,1080
253,TOYOTA Corolla 1.6 16V VVT I LIFTB SOL 4/5-Doors,13995,44,38461,110,1,0,1600,5,5,1080
254,TOYOTA Corolla 1.4 16V VVT I HATCHB TERRA 2/3-Doors,11750,42,38078,97,0,0,1400,3,5,1025
255,TOYOTA Corolla 1.4 16V VVT I LIFTB LUNA 4/5-Doors,11650,39,37782,97,1,0,1400,5,5,1060
256,TOYOTA Corolla 1.4 16V VVT I HATCHB SOL 2/3-Doors,9950,43,37576,97,0,0,1400,3,5,1030
257,TOYOTA Corolla 1.6 16V VVT I LIFTB LUNA 4/5-Doors,13950,41,37533,110,1,0,1600,5,5,1075
258,TOYOTA Corolla 1.6 16V VVT I LIFTB SOL 4/5-Doors,12950,44,37389,110,1,0,1600,5,5,1080
259,TOYOTA Corolla 1.4 16V VVT I HATCHB TERRA 2/3-Doors,10950,38,37320,97,1,0,1400,3,5,1025
260,TOYOTA Corolla 1.4 16V VVT I HATCHB TERRA 2/3-Doors,9900,42,37000,97,1,0,1400,3,5,1025
261,TOYOTA Corolla 1.6 SDN LINEA TERRA 4/5-Doors,11950,44,37000,110,0,0,1600,4,5,1075
262,TOYOTA Corolla 1.6 16V VVT I HATCHB G6 4/5-Doors,11990,40,36566,110,0,0,1600,5,5,1090
263,TOYOTA Corolla 1.6 16V VVT I LIFTB LUNA 4/5-Doors,10750,36,36269,110,1,0,1600,5,5,1075
264,TOYOTA Corolla 1.6 VVTi Linea terra 4/5-Doors,13950,37,36074,110,1,1,1600,5,5,1075
265,TOYOTA Corolla 1.6 16V VVT I HATCHB TERRA 2/3-Doors,11250,44,36066,110,1,0,1600,3,5,1040
266,TOYOTA Corolla 1.6 16V VVT I LIFTB LUNA 4/5-Doors,12950,39,34599,110,1,0,1600,5,5,1075
267,TOYOTA Corolla 1.6 16V VVT I LIFTB TERRA 4/5-Doors,11950,41,34000,110,1,0,1600,5,5,1075
268,TOYOTA Corolla 1.4 16V VVT I HATCHB TERRA 2/3-Doors,10950,42,33623,97,1,0,1400,3,5,1025
269,TOYOTA Corolla 1.6 16V VVT I LIFTB LUNA 4/5-Doors,12950,33,33591,110,1,0,1600,5,5,1075
270,TOYOTA Corolla 1.6 16V VVT I LIFTB LUNA 4/5-Doors,12950,35,33258,110,1,0,1600,5,5,1075
271,TOYOTA Corolla 1.6 16V VVT I LIFTB TERRA 4/5-Doors,11695,43,33113,110,1,0,1600,5,5,1075
272,TOYOTA Corolla 1.6v VVT-i Linea Sol 4/5-Doors,11000,41,33000,110,1,1,1600,5,6,1075
273,TOYOTA Corolla 1.6 16V VVT I LIFTB SOL 4/5-Doors,13950,35,32941,110,1,0,1600,5,5,1080
274,TOYOTA Corolla 1.6 16V VVT I LIFTB TERRA 4/5-Doors,11950,38,32781,110,0,0,1600,5,5,1075
275,TOYOTA Corolla 1.6 16V VVT I HATCHB TERRA 2/3-Doors,11750,40,32532,110,1,0,1600,3,5,1040
276,TOYOTA Corolla 1.4 16V VVT I LIFTB LUNA 4/5-Doors,12400,34,32431,97,1,0,1400,5,5,1060
277,TOYOTA Corolla 1.6 16V VVT I HATCHB TERRA 2/3-Doors,12500,35,32000,110,0,0,1600,3,5,1040
278,TOYOTA Corolla 1.6I LIFTBACK 4/5-Doors,12900,33,31000,110,1,0,1600,5,5,1075
279,TOYOTA Corolla 1.6 16V VVT I HATCHB SOL 2/3-Doors,12200,41,30989,110,0,0,1600,3,5,1045
280,TOYOTA Corolla 1.6 16V VVT I HATCHB TERRA 2/3-Doors,12750,43,30742,110,1,0,1600,3,5,1040
281,TOYOTA Corolla 1.6 16V VVT I LIFTB TERRA 4/5-Doors,11950,42,30190,110,1,0,1600,5,5,1075
282,TOYOTA Corolla Liftback 1.6 VVTI 4/5-Doors,11900,41,29716,116,1,0,1600,5,5,1075
283,TOYOTA Corolla 1.6 16V VVT I HATCHB TERRA AUT4 2/3-Doors,11950,44,29716,110,1,1,1600,3,5,1070
284,TOYOTA Corolla 1.6 16V VVT I HATCHB G6 2/3-Doors,14950,42,29640,110,0,0,1600,3,5,1055
285,TOYOTA Corolla 1.4 16V VVT I LIFTB LUNA 4/5-Doors,11950,41,29056,97,1,0,1400,5,5,1060
286,TOYOTA Corolla 1.6 16V VVT I LIFTB TERRA 4/5-Doors,12950,33,28715,110,1,0,1600,5,5,1075
287,TOYOTA Corolla 1.6 16V VVT I HATCHB G6 4/5-Doors,14950,41,28571,110,0,0,1600,5,5,1090
288,TOYOTA Corolla 1.6 16V VVT I HATCHB TERRA 2/3-Doors,13450,40,28362,110,1,0,1600,3,5,1040
289,TOYOTA Corolla 1.6 16V VVT I LIFTB LUNA 4/5-Doors,13750,38,28150,110,1,0,1600,5,5,1075
290,TOYOTA Corolla 1.6 16V VVT I HATCHB TERRA 2/3-Doors,12950,43,27301,110,1,0,1600,3,5,1040
291,TOYOTA Corolla 1.6 Terra LB Comf. 4/5-Doors,12750,33,27240,110,1,0,1600,5,5,1075
292,TOYOTA Corolla 1.4 16V VVT I LIFTB TERRA 4/5-Doors,11895,39,27170,97,1,0,1400,5,5,1060
293,TOYOTA Corolla 1.4 16V VVT I LIFTB TERRA 4/5-Doors,9950,42,27141,97,1,0,1400,5,5,1060
294,TOYOTA Corolla 1.6 16V VVT I LIFTB TERRA 4/5-Doors,12450,38,26262,110,1,0,1600,5,5,1075
295,TOYOTA Corolla 1.4 16V VVT I LIFTB LUNA 4/5-Doors,12500,38,26000,97,1,0,1400,5,5,1060
296,TOYOTA Corolla 1.6 16V VVT I HATCHB SOL 2/3-Doors,14950,43,25228,110,1,0,1600,3,5,1045
297,TOYOTA Corolla 1.6 16V VVT I LIFTB SOL 4/5-Doors,13750,39,25062,110,1,0,1600,5,5,1080
298,TOYOTA Corolla 1.6 16V VVT I SEDAN TERRA AUT4 4/5-Doors,12695,39,24723,110,1,1,1600,4,5,1060
299,TOYOTA Corolla 1.6 16V VVT I HATCHB G6 2/3-Doors,14990,33,24650,110,1,0,1600,3,5,1055
300,TOYOTA Corolla 1.6 16V VVT I LIFTB SOL 4/5-Doors,12750,43,24553,110,1,0,1600,5,5,1080
301,TOYOTA Corolla 1.6 VVTi Terra Comfort 4/5-Doors,14350,41,24475,110,1,0,1600,5,5,1030
302,TOYOTA Corolla 1.6 16V VVT I HATCHB TERRA 2/3-Doors,12950,39,24444,110,1,0,1600,3,5,1040
303,TOYOTA Corolla 1.4 16V VVT I HATCHB TERRA 2/3-Doors,11500,35,24011,97,0,0,1400,3,5,1025
304,TOYOTA Corolla 1.4 16V VVT I HATCHB TERRA 2/3-Doors,11950,41,24000,97,1,0,1400,3,5,1025
305,TOYOTA Corolla 1.6 16V VVT I LIFTB LUNA 4/5-Doors,13450,40,23616,110,1,0,1600,5,5,1075
306,TOYOTA Corolla 1.6 16V VVT I LIFTB LUNA 4/5-Doors,12900,38,22865,110,1,0,1600,5,5,1075
307,TOYOTA Corolla 1.3 16V LIFTB LINEA TERRA 4/5-Doors,10500,41,22780,86,1,0,1300,5,5,1035
308,TOYOTA Corolla 1.4 16V VVT I HATCHB TERRA 2/3-Doors,10950,35,21904,97,0,0,1400,3,5,1025
309,TOYOTA Corolla 1.4 16V VVT I HATCHB TERRA 2/3-Doors,11950,41,21651,97,0,0,1400,3,5,1025
310,TOYOTA Corolla 1.6 VVTI Linea Terra Comfort 4/5-Doors,11450,37,21500,110,1,0,1600,5,5,1030
311,TOYOTA Corolla 1.6 16V VVT I LIFTB SOL 4/5-Doors,13250,44,21027,110,1,0,1600,5,5,1080
312,TOYOTA Corolla 1.6 16V VVT I SEDAN TERRA 4/5-Doors,10250,39,18500,110,0,0,1600,4,5,1030
313,TOYOTA Corolla 1.6 16V VVT I LIFTB TERRA 4/5-Doors,13995,35,18000,110,1,0,1600,5,5,1075
314,TOYOTA Corolla 1.4 16V VVT I LIFTB TERRA 4/5-Doors,11950,40,17051,97,0,0,1400,5,5,1060
315,TOYOTA Corolla 1.4 LB LINEA TERRA 4/5-Doors,13250,33,16512,97,1,0,1400,5,5,1085
316,TOYOTA Corolla 1.6 16V VVT I LIFTB SOL 4/5-Doors,12950,40,16325,110,1,0,1600,5,5,1080
317,TOYOTA Corolla 1.4 16V VVT I LIFTB LUNA 4/5-Doors,11750,38,16000,97,1,0,1400,5,5,1060
318,TOYOTA Corolla 1.6 Linea Terra LB 4/5-Doors,11500,39,12000,110,1,0,1600,5,5,1075
319,TOYOTA Corolla 1.4 VVTI LB 4/5-Doors,13500,43,10000,97,1,0,1400,5,5,1060
320,TOYOTA Corolla 1.6 16V VVT I LIFTB SOL 4/5-Doors,9900,51,146736,110,1,0,1600,5,5,1080
321,TOYOTA Corolla 1.6 16V VVT I WAGON TERRA Stationwagen,9950,49,131364,110,1,0,1600,5,5,1075
322,TOYOTA Corolla 1.6 16V VVT I HATCHB G6 2/3-Doors,9950,50,126110,110,0,0,1600,3,5,1055
323,TOYOTA Corolla 1.6 16V VVT I LIFTB SOL 4/5-Doors,9000,48,119742,110,1,0,1600,5,5,1080
324,TOYOTA Corolla 1.6 16V VVT I SEDAN TERRA 4/5-Doors,10500,55,117175,110,1,0,1600,4,5,1035
325,TOYOTA Corolla 1.6 16V VVT I SEDAN TERRA 4/5-Doors,10750,54,115558,110,1,0,1600,4,5,1035
326,TOYOTA Corolla 1.4 16V VVT I HATCHB TERRA 2/3-Doors,8950,53,115113,97,1,0,1400,3,5,1025
327,TOYOTA Corolla 1.4 16V VVT I LIFTB TERRA 4/5-Doors,10950,49,107859,97,0,0,1400,5,5,1060
328,TOYOTA Corolla 1.4 16V VVT I HATCHB TERRA 2/3-Doors,9450,52,104805,97,1,0,1400,3,5,1025
329,TOYOTA Corolla 1.6 16V LIFTB LINEA LUNA 4/5-Doors,9950,54,103454,110,1,0,1600,5,5,1075
330,TOYOTA Corolla 1.6 16V VVT I LIFTB SOL 4/5-Doors,11900,47,102352,110,1,0,1600,5,5,1080
331,TOYOTA Corolla 1.4 16V VVT I LIFTB TERRA 4/5-Doors,9950,50,102030,97,1,0,1400,5,5,1060
332,TOYOTA Corolla 1.6 16V VVT I LIFTB SOL 4/5-Doors,11950,54,101352,110,0,0,1600,5,5,1080
333,TOYOTA Corolla 1.6 16v TERRA 4/5-Doors,7900,50,99865,110,1,0,1600,4,5,1035
334,TOYOTA Corolla 1.6 16V VVT I HATCHB G6 2/3-Doors,10950,52,99323,110,1,0,1600,3,5,1055
335,TOYOTA Corolla 1.6 16V VVT I WAGON TERRA Stationwagen,11950,51,98040,110,0,0,1600,5,5,1080
336,TOYOTA Corolla 1.6 HB SOL 2/3-Doors,10900,49,97600,110,1,0,1600,3,5,1045
337,TOYOTA Corolla 1.6 16V VVT I LIFTB SOL 4/5-Doors,9950,55,97234,110,0,0,1600,5,5,1080
338,TOYOTA Corolla 1.6 16V VVT I LIFTB SOL 4/5-Doors,10950,54,96100,110,1,0,1600,5,5,1080
339,TOYOTA Corolla 1.3 16V HATCHB LINEA TERRA 2/3-Doors,8950,55,94122,86,1,0,1300,3,5,1015
340,TOYOTA Corolla 1.6 16V VVT I HATCHB G6 2/3-Doors,10500,49,91340,110,1,0,1600,3,5,1055
341,TOYOTA Corolla 1.4 16V VVT I HATCHB TERRA 2/3-Doors,8950,53,90200,97,0,0,1400,3,5,1025
342,TOYOTA Corolla LIFTBACK 1.4 VVT-i LINEA TERRA 4/5-Doors,11500,48,89049,97,1,0,1400,5,5,1060
343,TOYOTA Corolla 1.6 16V VVT I WAGON TERRA Stationwagen,9750,52,89000,110,0,0,1600,5,5,1075
344,TOYOTA Corolla 1.6 16V VVT I HATCHB TERRA 2/3-Doors,9950,45,87274,110,1,0,1600,3,5,1040
345,TOYOTA Corolla 1.6 16V VVT I HATCHB SOL 2/3-Doors,11450,49,86221,110,0,0,1600,3,5,1045
346,TOYOTA Corolla 1.6 VVT-i L. Sol Wagon Stationwagen,12500,54,84598,110,0,0,1600,5,5,1075
347,TOYOTA Corolla 1.6 16V VVT I LIFTB TERRA 4/5-Doors,10500,50,83567,110,0,0,1600,5,5,1075
348,TOYOTA Corolla 1.6 16V VVT I WAGON TERRA Stationwagen,12950,50,83106,110,1,0,1600,5,5,1075
349,TOYOTA Corolla 1.6 16V VVT I HATCHB TERRA 2/3-Doors,12200,50,82805,110,1,0,1600,3,5,1040
350,TOYOTA Corolla 1.4 16V VVT I HATCHB SOL 2/3-Doors,10950,50,82735,97,1,0,1400,3,5,1030
351,TOYOTA Corolla 1.6 LB LINEA SOL 4/5-Doors,10950,54,81905,110,1,0,1600,5,5,1105
352,TOYOTA Corolla 1.6 16V VVT I HATCHB TERRA AUT4 2/3-Doors,11290,49,80320,110,1,1,1600,3,5,1070
353,TOYOTA Corolla 1.4 VVT-i Linea Sol HB 2/3-Doors,10750,49,80090,97,1,0,1400,3,5,1030
354,TOYOTA Corolla 1.6 16V VVT I LIFTB TERRA 4/5-Doors,10895,53,79800,110,0,0,1600,5,5,1075
355,TOYOTA Corolla 1.6 16V VVT I LIFTB TERRA 4/5-Doors,9750,48,78600,110,1,0,1600,5,5,1075
356,TOYOTA Corolla 1.6 16V VVT I HATCHB TERRA 2/3-Doors,10250,55,77780,110,0,0,1600,3,5,1040
357,TOYOTA Corolla 1.6 16V VVT I SEDAN TERRA 4/5-Doors,12500,49,77648,110,0,0,1600,4,5,1030
358,TOYOTA Corolla 1.6 16V VVT I SEDAN TERRA 4/5-Doors,11950,54,77270,110,1,0,1600,4,5,1035
359,TOYOTA Corolla 1.4 16V VVT I LIFTB TERRA 4/5-Doors,10750,50,76167,97,1,0,1400,5,5,1060
360,TOYOTA Corolla 1.6 16V VVT I SEDAN TERRA 4/5-Doors,11450,46,75249,110,1,0,1600,4,5,1035
361,TOYOTA Corolla 1.6 16V VVT I LIFTB SOL 4/5-Doors,11950,54,75231,110,1,0,1600,5,5,1080
362,TOYOTA Corolla 1.6 G6 HB 2/3-Doors,11750,48,75045,110,1,0,1600,3,6,1055
363,TOYOTA Corolla 1.6 16V VVT I SEDAN TERRA AUT4 4/5-Doors,10950,50,74849,110,1,1,1600,4,5,1060
364,TOYOTA Corolla 1.6 16V VVT I LIFTB SOL 4/5-Doors,11950,55,74715,110,1,0,1600,5,5,1080
365,TOYOTA Corolla 1.4 16V VVT I HATCHB TERRA 2/3-Doors,11450,56,74500,97,0,0,1400,3,5,1025
366,TOYOTA Corolla 1.6 16V VVT I LIFTB TERRA 4/5-Doors,8900,49,74494,110,1,0,1600,5,5,1075
367,TOYOTA Corolla 1.6 4/5-Doors,10500,50,73634,110,0,0,1587,5,5,1075
368,TOYOTA Corolla 1.6 16V VVT I LIFTB TERRA 4/5-Doors,11750,47,73403,110,1,0,1600,5,5,1075
369,TOYOTA Corolla 1.4 16V VVT I HATCHB SOL 2/3-Doors,11450,49,73175,97,1,0,1400,3,5,1030
370,TOYOTA Corolla 1.6 16V VVT I HATCHB G6 2/3-Doors,12000,52,73000,110,0,0,1600,3,5,1055
371,TOYOTA Corolla 1.6 16V VVT I HATCHB TERRA AUT4 2/3-Doors,11950,50,72242,110,0,1,1600,3,5,1070
372,TOYOTA Corolla 1.4 16V VVT I HATCHB TERRA 2/3-Doors,9850,53,72000,97,1,0,1400,3,5,1025
373,TOYOTA Corolla 1.6 16V VVT I SEDAN TERRA 4/5-Doors,10950,54,71725,110,1,0,1600,4,5,1035
374,TOYOTA Corolla 1.6 16V VVT I LIFTB SOL 4/5-Doors,10950,54,71276,110,0,0,1600,5,5,1080
375,TOYOTA Corolla 1.6 16V VVT I HATCHB TERRA 2/3-Doors,10990,53,70239,110,0,0,1600,3,5,1040
376,TOYOTA Corolla 1.4 16V VVT I HATCHB TERRA 2/3-Doors,9500,55,69813,97,1,0,1400,3,5,1025
377,TOYOTA Corolla 1.3 16V HATCHB G6 2/3-Doors,11950,49,69659,86,0,0,1300,3,6,1025
378,TOYOTA Corolla 1.4 16V VVT I LIFTB SOL 4/5-Doors,10750,46,69574,97,0,0,1400,5,5,1065
379,TOYOTA Corolla 1.6 16V VVT I SEDAN TERRA 4/5-Doors,8750,49,68565,110,1,0,1600,4,5,1030
380,TOYOTA Corolla 1.4 16V VVT I HATCHB TERRA 2/3-Doors,9950,46,68414,97,0,0,1400,3,5,1025
381,TOYOTA Corolla 1.6 16V WAGON LINEA LUNA Stationwagen,11950,56,66777,110,0,0,1600,5,5,1090
382,TOYOTA Corolla 1.6 16V VVT I WAGON TERRA Stationwagen,13950,52,66527,110,1,0,1600,5,5,1080
383,TOYOTA Corolla 1.6 16V VVT I HATCHB G6 4/5-Doors,11250,54,66063,110,1,0,1600,5,5,1090
384,TOYOTA Corolla 1.4 16V VVT I LIFTB TERRA 4/5-Doors,10900,50,65471,97,1,0,1400,5,5,1060
385,TOYOTA Corolla 1.4 16V VVT I HATCHB TERRA 2/3-Doors,9750,56,65400,97,1,0,1400,3,5,1025
386,TOYOTA Corolla 1.4 16V VVT I HATCHB TERRA 2/3-Doors,9950,52,65170,97,1,0,1400,3,5,1025
387,TOYOTA Corolla 1.6 sol lb 4/5-Doors,11950,56,65000,110,1,0,1600,5,5,1075
388,TOYOTA Corolla 1.6 16V VVT I HATCHB TERRA 2/3-Doors,10450,48,64193,110,1,0,1600,3,5,1040
389,TOYOTA Corolla 1.4 16V VVT I HATCHB TERRA 2/3-Doors,8950,54,64000,97,1,0,1400,3,5,1025
390,TOYOTA Corolla 1.6 16V VVT I LIFTB TERRA 4/5-Doors,10250,54,63792,110,1,0,1600,5,5,1075
391,TOYOTA Corolla 1.6 16V VVT I SEDAN TERRA 4/5-Doors,9930,53,63635,110,1,0,1600,4,5,1035
392,TOYOTA Corolla 1.6 16V HATCHB LINEA TERRA 2/3-Doors,10500,54,63135,110,1,0,1600,3,5,1050
393,TOYOTA Corolla 1.6 SDN LINEA SOL 4/5-Doors,11950,54,63123,110,1,0,1600,4,5,1035
394,TOYOTA Corolla 1.6 SDN LINEA SOL 4/5-Doors,11500,55,63000,110,0,0,1600,4,5,1035
395,TOYOTA Corolla 1.6 16V VVT I LIFTB SOL 4/5-Doors,11450,54,62987,110,0,0,1600,5,5,1080
396,TOYOTA Corolla 1.6 16V HATCHB LINEA TERRA 2/3-Doors,9900,56,62751,110,0,0,1600,3,5,1050
397,TOYOTA Corolla 1.4 16V VVT I HATCHB TERRA 2/3-Doors,9500,54,62519,97,0,0,1400,3,5,1025
398,TOYOTA Corolla 1.4 16V VVT I LIFTB TERRA 4/5-Doors,10500,50,62280,97,1,0,1400,5,5,1060
399,TOYOTA Corolla 1.6 VVTI Linea Terra liftback 4/5-Doors,10750,50,61672,110,0,0,1600,5,5,1075
400,TOYOTA Corolla 1.6 16V HATCHB S 2/3-Doors,12000,56,61000,110,1,0,1600,3,5,1050
401,TOYOTA Corolla ! 1.6-16v vvt-i sol airco sedan 4/5-Doors,9940,53,60558,110,1,0,1600,4,5,1105
402,TOYOTA Corolla 1.6 16V VVT I SEDAN TERRA 4/5-Doors,10950,47,60348,110,0,0,1600,4,5,1030
403,TOYOTA Corolla 1.6 16V VVT I LIFTB TERRA 4/5-Doors,10750,54,60239,110,1,0,1600,5,5,1075
404,TOYOTA Corolla 1.4 VVTI Linea Terra 2/3-Doors,9799,51,59000,97,1,0,1400,3,5,1025
405,TOYOTA Corolla 1.4 VVT-i Linea Luna liftback 4/5-Doors,11750,51,58761,97,0,0,1300,5,5,1060
406,TOYOTA Corolla 1.6 16V VVT I SEDAN TERRA 4/5-Doors,11950,54,58745,110,1,0,1600,4,5,1035
407,TOYOTA Corolla 1.6 16V VVT I HATCHB SOL 2/3-Doors,11250,52,58596,110,1,0,1600,3,5,1045
408,TOYOTA Corolla 1.6 16V LIFTB LINEA LUNA 4/5-Doors,11750,54,58530,110,0,0,1600,5,5,1075
409,TOYOTA Corolla 1.6 16V HATCHB S 2/3-Doors,10950,55,58377,110,1,0,1600,3,5,1050
410,TOYOTA Corolla 1.6 16V VVT I LIFTB SOL 4/5-Doors,11250,56,58142,110,1,0,1600,5,5,1080
411,TOYOTA Corolla 1.4 16V VVT I HATCHB TERRA 2/3-Doors,9950,53,57948,97,1,0,1400,3,5,1025
412,TOYOTA Corolla 1.6 16V VVT I LIFTB SOL 4/5-Doors,9700,51,57645,110,0,0,1600,5,5,1080
413,TOYOTA Corolla 1.6 SDN LINEA SOL 4/5-Doors,11950,47,57500,110,1,0,1600,4,5,1105
414,TOYOTA Corolla 1.6 16V VVT I HATCHB TERRA 2/3-Doors,9900,53,57475,110,0,0,1600,3,5,1040
415,TOYOTA Corolla 1.6 16V VVT I HATCHB SOL 2/3-Doors,9990,55,56743,110,0,0,1600,3,5,1045
416,TOYOTA Corolla 1.4 16V VVT I HATCHB TERRA 2/3-Doors,9475,48,56675,97,1,0,1400,3,5,1025
417,TOYOTA Corolla 1.6 16V VVT I LIFTB TERRA 4/5-Doors,11500,54,55877,110,1,0,1600,5,5,1075
418,TOYOTA Corolla 1.6 VVTI Linea Sol Sedan 4/5-Doors,11950,53,55500,110,1,0,1600,4,5,1035
419,TOYOTA Corolla 1.4 16V VVT I LIFTB TERRA 4/5-Doors,11500,55,54900,97,1,0,1400,5,5,1060
420,TOYOTA Corolla 1.6 16V VVT I LIFTB TERRA 4/5-Doors,10500,50,54465,110,0,0,1600,5,5,1075
421,TOYOTA Corolla 1.4 16V VVT I LIFTB TERRA 4/5-Doors,10900,46,53700,97,1,0,1400,5,5,1060
422,TOYOTA Corolla 1.4 16V VVT I LIFTB TERRA 4/5-Doors,11700,52,53561,97,1,0,1400,5,5,1060
423,TOYOTA Corolla 1.6 16v Liftback Linea So 4/5-Doors,11900,51,53408,110,1,0,1600,5,5,1080
424,TOYOTA Corolla 1.6 16V VVT I WAGON TERRA Stationwagen,13950,51,53268,110,1,0,1600,5,5,1080
425,TOYOTA Corolla 1.4 16V VVT I HATCHB TERRA 2/3-Doors,10950,49,53116,97,1,0,1400,3,5,1025
426,TOYOTA Corolla 1.4 16V VVT I HATCHB TERRA 2/3-Doors,10500,56,52448,97,0,0,1400,3,5,1025
427,TOYOTA Corolla 1.4 HB LINEA TERRA 2/3-Doors,10750,55,52149,97,1,0,1400,3,5,1085
428,TOYOTA Corolla 1.6 16V LIFTB LINEA TERRA 4/5-Doors,11950,55,52141,110,1,0,1600,5,5,1070
429,TOYOTA Corolla 1.4 16V VVT I HATCHB TERRA 2/3-Doors,10000,56,52000,97,0,0,1400,3,5,1025
430,TOYOTA Corolla 1.4 16V VVT I LIFTB TERRA 4/5-Doors,10495,48,50967,97,1,0,1400,5,5,1060
431,TOYOTA Corolla 1.6 16V VVT I LIFTB SOL 4/5-Doors,11450,50,50400,110,0,0,1600,5,5,1080
